Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.751954513148543,0.522202486678508,0.786096256684492,0.6275346851654215,0.8360261115798956
Logistic Regression,0.8038379530916845,0.6475903614457831,0.5748663101604278,0.6090651558073654,0.8356727976766699
Decision Tree,0.7782515991471215,0.5807291666666666,0.5962566844919787,0.5883905013192612,0.8195096572466881
